,nickname,lane,team,country,tier,point,name,accountId,id,puuid
60,Punch,Jungle,No Team,Korea,Challenger,"1,065",Fanch,GlabrecpZZmoX-cMaJkWrFH7V9l5H6tc-mUh_lO9GLtW1Sk,k0tzJe9-f3RR10xtODum106rk0Z3e5rRb5bykSOGYjU0NLM,4QUSAEy_9ZJ_PLsAGcyTbd7J-h1PmhnNenJRTGBcmDUZn1WP6xMZRv2Tbbb9zg6B_oejcwIWDGmC0g
61,Angel,Top, Suning Gaming,China,Challenger,"1,064",아창란o식물,elkUEvJHCURP6Ego6sLhPClALHbb3VcuR5h5Z1fxckyjVdSM7OW9Qrq-,AfrDuR07Kfaf9aIamEk83zgakxXgrwB4K0xXvvzxNyQrDAQ,XCssxa0xyJq7Rz7_ZZNMQNt7OuHnVONavBhldKqeTTLAD-6dXtrv3cdwvggtm9ovpiqoLIw356ZULg
62,Iwandy,Support, LNG Esports,China,Challenger,"1,064",xxxxxxx1,nn__JdOYBgGnlDjIPVhL84zS6mB09xuXcsvm0aDs162zfww,DTBUVL7Pfl-uy2jrY_vUZ4SSPUcIiRkEYwXUjl_-oW0Xmfs,JaHOnPGmH0W5XBIn1ByzEIUWXnblRA8eguG_M4_FwimoUijr6Oqy5U_gM7ahN_FrBjshAxXZ5nELgQ
63,Doran,Top, KT Rolster,Korea,Challenger,"1,047",모찌피치모찌피치,pG8H08INZnleEbMFRobu2CkGkdDni7muoKVrnaOZ2iEjh7k,bcHdpWpI7TAda5f6i-UzLgGa8otY1yoC--gcjrh_NduL76Q,SHPyBrt0UdA4bVagqHWDrgsFR98mp1F54xmJ_pgNMSxUpgdl-vhKAWR5oUMtYHmF-r463flq68ACFg
64,Prince,ADC, Awesome Spear,Korea,Challenger,"1,046",원딜 왕자 이채환,do7RS54WISsJy9bNGr6nUhKIefPa9suNUrsd1mGxTm-RoMs,OfdWfdC2DKMpfNQTrgWw8emV2kpyU1PBX1QqZdZ3jEZT24k,GYwHY_6ZRXLyMzsw7HKuSf6U4cTokSvYkxjg214ZGTqla-g8Bh4tQp0fJvnXhyO2cgx3OW3ivXAz6w
65,xiao7,Top,No Team,China,Challenger,"1,040",sheidodabuguo,-FogKClsW2phWvbQeTEin3B9i5IHaUTwQWlRRPq67fad,aHtXajn1ZEGc9_tRQgDc0PPubRC9sBOcRFYSujv95THLnw,x5L8q_ievCzHYvcC8WhlhUx6qE8SVXrAClL_vtD0575Xn1-LvwZcQjsZf9Y4cvD1k7RvzCk3ECemYQ
66,Dice,Mid, Gen.G Academy,Korea,Challenger,"1,036",Gen G Dice,T0HBDCPxOzEQ29W7uo9TXIfyGgE9imAe3oixsi3gGAqHCqw,08G_oXPHPD150YbENfzqcDgl4LE14poN9W1VZ8Bd7HgT11Y,AKk_wPt5W09qtBKDZKIbRzoMWoxxVi_3x8DdE0GwOjqWh9f0joARIACqun6ScYjCYX2jL4ByDDuPxw
67,ShiauC,Support, eStar,China,Challenger,"1,031",lagluckygame,bSft7Qf6sdAFTN3dvLFr_t06S7QfZmpOd2faJ3vD9U5Vy6PY66Lr6qsX,GKS0jFID1RmZmoTIMI-N4lhnD120qwppCUkRd5m92ZRp3tw,RK3SfH-SUcgq2nd8AvclhW_26G7dyiOtZydGYDl3HhrseTtSwEmudJgqrrJi3YA_sgW17W_79CP7CA
68,ming,Support, Royal Never Give Up,China,Challenger,"1,029",boom1boom,EdLrO7XHhX1nEivtSc8pqV4t2fLJF4p9XLfhnAqPUBU0vJFAsxKYPQ6w,JRS3L14AaJyTo_zgJ5islxDfsrWOhuwIIuxt6pQz2GGr7IQ,0cEmNEPrzlmte695fYiCQrncKgG13wdFq9kgxqfihpQrpGiqDK5p7APhqDQ7bO9QkGslxqh5O52aIw
71,Chasy,Top, DAMWON Gaming,Korea,Challenger,"1,022",DWG Chasy,zCwahtWGFC3N8IJbU7100shyUOCo_-JVpXWziCUf_cbmfWqEC6b2Lu0s,wXO_IsQNIa5wuLBQpEPreq885ZgrdoQqopfjzge232arHpk,YSAVTzj5OKKcV8O9YpdL8yhIm01pGlsyN0drueN5_EqyjFVJ6uQcIqZvZfsPhuHCNYQrIIT79YcmfA
72,Karsa,Jungle, Top Esports,China,Challenger,"1,021",Adachi Shimamura,l6Jobtxv1FJQ76Lm68sMlLXJ7Hxln4Ez18BF5fHpB-LwaKjweZ53pfE3,bBOKDZZPIdhu7dDTaw0xx8vxQTws_UCCyKHIeiwyFJWNg98,DSxzITHRde2loLuq4wU21_WzFzjTBsfsKeyf5rq3pp-VNK1ja43AzgBGVvt2zs-_QQyfJZ8hJ2D9rA
73,Route,ADC, SANDBOX Gaming,Korea,Challenger,"1,012",SANDBOX Route,XkdFIk-UDPp99bR9p3IL7XVXKEikKoxcdhNGYBIYhhspQtIeCo3qXZTj,kIexXo7WXAl0v-PMbc0z07e3NL2-aiML8wGQ2Dj8OT4YW9g,VhXQ5bdrS_pTqh0otvhaak8LQRbcRFRDLx-2kLrosF5d45b-VcKq1syuUviwaOW2Q7Luk0ZFbrVxjA
74,Crime,Mid, Oh My Dream,China,Challenger,"1,012",zywbzdcs,EqZbyYRM2Lx9Ac6v1sgv4bXu00aKK6HhkJXmWci4nZfA,fVj0G9YURFXG1C8E2EfbV2B8kpPXqwJwLwMdwVE4PFdyl6k,gigeo4AqpiHNp_SkP4oKkIgqVaVJQ0QXzhvPheyu2SyDAsUwopRhaSstVMNwKTlqWh_k0qIWOp0IuA
75,SOLCA,Mid (Sub), DRX,Korea,Challenger,"1,008",스카이시현,YGs7xeuSxCH8WjiZ2UTdqsJ66oZwWOABtxu0VpinRk6u9CT7MQovS2XF,zP9_LVWDtVi92147kMDLY-_18A8fmtPDnmAi5TbRWNk869HO,Csr-XqlwYPwIHyd--oKkhtcQzSl1UFbEI3XDcNkHvYmu71zEzt_rAFmXdIDmEM5b7BjPeZk8DLPhGw
76,Scarlet,Mid,No Team,Korea,Challenger,"1,007",유리Yur1,I7Gcge1YhdmwRjTce2O0MQ8xa5jJTClxl49CHObUzcdPU-UiJKml-0RE,3gEyoR4WewczYPFFpX1EFB85nsw9ytKqZlwtly_uG_j2ZzE,sOsq5T5mWFLXeI6FWoCErfYYWAVRYlQ5OhLgYTsxdm3VH1QbloPPnU1moU4925c1mRQbrIBlQeIOnA
77,Ke,Support, eStar.Y,China,Challenger,"1,007",mmqm,9enXQLYTVNv5-IjZ9WirmbFHo4zyViYesDGA2HphfoKdQv_jaDWzOnWl,_CUhZya4RRaMyRAi5VAN6fWe-t-oIz-SwhVGGW0eOyP5tTk,88AuyZIJ7n2kl9FWxzgoJI6Hs-SrRONtT2wWWAfAytaTSj_UHXrtLDXJWZTEl4QJ4LwZI2hjkj1s8Q
78,Effort,Support, SANDBOX Gaming,Korea,Challenger,"1,006",롤오브레전드1234,CCinpYJhfBsj4fFMvygoW5o7oo7WY5_SX5JH2TBsINljTxOixIp_Yttc,awRlnpKhCZHsyTkleU_JtXIuKVuKPA8bvBCCodmFWG34-Hgo5gJul7RPPA,D6hduWaOsH2wn39sf-7ncmRZ30TX3mtAs6iGukNC_idsUOO5SFzKJ1-3mvA0fdhEtYG3aHZP9oDLCA
79,Arrow,ADC,No Team,Korea,Challenger,"1,005",Arrowlol,MNcuG_OToh_Bv_F0A-CjvC2qxdDBjId3oBAiu5cOnsOKhyo,K7FzGGDcrs7E2JKcLwhVs6_5dxG9KdeNJoSEnN7A_06ISr8,Dj7fzjd8z3VRE5cIohnTX6l6MoELHvKlyvNjwPD1z4ju-fdFjDBwIDu4V9yiLWHykr-GEVAZO68q6A
80,Zhuo,Support, Team World Elite,China,Challenger,"1,003",hao yun bao bei,zTeViQyLeBRfj06CwdJtf8wu65Gk-MAZRWIGY-Fwn5Ka0nSwtGspXsKZ,sbC5p3Z0BuYdQMWZp2yLYVT1_v_vfFXbtxlw2lPTLZaTBKg,v1dSrmtc_xx1k5IeABX7XuPwZTClwzq1FeqjtyXgHMdSU4QjDVI-0p4SC94t1B6ub0r2tIyBsC6Y1A
81,Snow,ADC, Invictus Gaming Young,China,Challenger,"1,002",whisper snow,8il4k9WJyROan5MNgNfjYv0k9FA5zwbGahAizYdFZHovByQ,_1Bgg7UFVoQ0sLnFGqiwrVRKzf00MuRSPVcDyYYGy5TK0hM,Va8il7oG0kV0Y2TFnQznkk_ZC2AqUczdE-WJyqra2LRU3aS1hQaMUIHxi9dj9II5XAzkYi7Xmpr59w
82,FoFo,Mid, Bilibili Gaming,China,Challenger,"1,001",stableman1,KMidP2oSFBlnM5mcoLzEeFU5BnzEiVfPcxzJ3_xCHxGKqCIP3GZuwV2I,SNcWBj0WQwcHU9aPqFzgHgMEvE_ASaF2L7zSFmRGfcGb32A,QtWKqSMpzE5zWJTDTappaIAOiK7EmVrH5ye7_fLmglPtCBG6ibPFSBzelonQqS_9pno852_qbma2aQ
83,xiaohuangren,Jungle, Dominus Esports Young,China,Challenger,999,TTzhao1952222922,aINPzlQmW-mHkfC6PzlXem3kVQ-GIObEiS8bv-V77E2Tzg5zCOcEIti2,VcHlLOtgZ35f9aQKCvBbkDv9dvVVjBuZLjhivVvuLo-ZpwQ,Wb7QkqxbVqYuuCFdyTPOlUNR_s66V0YZOkg8zEOGfyUCfxXCv3_wbQgiYvx85cO1vVYIjSHttOCswg
84,SnowFlower,Support,No Team,Korea,Challenger,998,군대괜히미룬사람,qgsxMk7_2rOrCdkG-gXeXsl-WKy5WXalo2L8iQQ6vQ2b,BWm4qSn-pLKNXVdNSdj9PI7km_LM76KpMLv7Fhvu4K2NhA,c3DApiJZqKA3ZH4_fBpBANdA-rot-UtmHS8_dk0OgdCpc4QByo2Q5xPG47q0SiuocoRI6tbhykutNQ
85,Ggul,Top,No Team,Korea,Challenger,997,FA GGul,ODfTAWp44XpEL-4rLEyYmOgiaUZalxfqUqx_HnAp5c4Ujn8,yUHo7eXMnKDUda6LG8_AYMK9-7flwrD4kWm1kvS0DrwZf58,ydmDbrKpPW0lb3GQGsdjGisDEuhp-3yJLuFvkj7fpp9knPXGKjo6U8eok0d5ZAr-uXs268Sx48tVAg
86,Peach,Jungle, DRX Academy,Korea,Challenger,996,esortazione,jiqKGe8ewWc9RxxyfK7-nCou8G2qBQ9zmLvrAI3x5NXEcVTPHj9REr2t,ERlMmz75ASJs5AqeMpBHChRQpqa-vFCeK0NssOkl0p0qQjw,SJci6hd3t0R5TWua2P0K0a7EVK0rXlUu8TJCxJ_qyTK_nLtis0Xi4fTbo-p5Mfx3RUD9KhtoA8fTTA
87,SoHwan,Top,No Team,Korea,Challenger,994,미쳐놈,GzaRNP1MKM5g8wPg6nhKinU2w7MTUFJG8d0bZHFyIijk,CazuO5H58KH8TJaQQOSgOTlMzOCbDFfVXX4brYUxQiOHaQ,z0rUx0iAhLCnM-lTfmhjREbt3Vvt3SSV3WDHWJbRy37l-dwKkinVlgXB5oxpz9xR0vHfMrpiFUpTTw
88,Mole,Mid, Victory Five,China,Challenger,989,GLZassassin,qSWGndxAcnY57-IaDxNXG1oVqD1Or3OXqO_JD6jdD_DPyZ_sxFFUG2j1,P89B0a7OFOifejQHtKYWIS2ULYPVxKtrnvnHad_mbPQ28LY,N21wvyx9lgLBo-2XGT0Lu2O9YsOwx-oL_ukOuPeoRQFf3aogY4IAE3K57iRsCQf1F5K_lqEbDTK3-A
89,Photic,ADC, Top Esports Challenger,China,Challenger,989,photic12345,g03P6Q36U--ksfbKhKa3eDjEct7A4XYAzrN8fgeiXON9-_pj36N3QW6u,aTx_C0lbuwJG50o78G64bMKHqVRB4Ju2vpW5RNChjf-hGus,J6QJW7L1Fek785iBXlGbkKDfuKVk9uTNhGXbkNc-NUi_nLBmXdNWHc--MhfAmxBk_l1Mr1nxIvz7JQ
90,UmTi,Jungle, hyFresh Blade,Korea,Challenger,985,See u AG,y_3qFYPoHkH3e7WU1kqGPw3Re8qu3lz3fzmrkgbbED-Bqag,Y2tPj7WWwBV_QmKtYEUb03ZD3NvQIDtA7pL9FVVECY2Stm4,W6fhQsGNfwarGBZRavcnZRj8dHeoZNvDWl1An10pJtPGpoIHf6MiAPAebLRz4VUmRrmGtNJLKDFlVQ
91,GorillA,Support,No Team,Korea,Challenger,979,강꼬릴,tUlFhSw9cVEz70HD6UgC5DqhquVzjwBZyzqodDdL763O,-E-znKUprqdQdTihUEa0YU3mg7zTgOIiFJkIOki_44CavA,d6arojpzsa10iH9gDVOWr0zG_D1bWZzQKfv5kkMnw8DFEdcPsHL_o-rVZJyTxCibA8kJDKlxye0o3Q
92,Sword,Top (Sub), Griffin,Korea,Challenger,971,이도류,PwFZFjqn_5An3nrwL_SoHyPQD8bI86xADnf1OoTUn_FH0Yk,ddBfx2IVonuRWSTp2YPTJGojwqJV3Ivcc5NtVmzWiNJaanw,2r2PZ21obbgbhbz0xkAyA8HoybiEqowkz1cSCMvxdCOf2tOpUKN7NTGdJMj7H1zfCD23ajLhOCKTKA
93,Betty,ADC, Royal Never Give Up,China,Challenger,969,BeTnT1,3Rw37ArEKVmBgnfbw3Hp0fTl7C60yg8fyoPh3XFwnUPsAr261TTooQXL,-JgwHW3Y_PLz-DRti7Z33-hTVsR50Gk5ciUfsa2f4M6esTk,kcaR3YXdMSz2Ht4aZ4svRLp1GgsNVtucS6T2zZu812fvzpjXDESkyBhizuYzlz7ZLK8oIZJ018MuNg
94,Meiko,Support, EDward Gaming,China,Challenger,968,미나모토 치세,_r0zsIzUlj0ZBxW-USagm-LluRIYbgyDlWJ_uPNrPYUpceLjZ6aJ9ybY,fZz0nSKD_t1kOwzyyti0cjVwUMipNvFxXQqoFz2QqbG0bys,Sbwvj_hLtpFnp3I0I-U4LGFzKdjhFnSBD1F9n4UhsKQIDfuHzZ0aOKrTstTf2TsPJ9tKH_XPeAsBlQ
95,Gori,Mid,No Team,Korea,Challenger,967,GGGori,Iro39-vldO4yOGcUFsbUzj5b2fRsY3kXI9L0_GRltQ7nu9Q,a7wC_4PooIsV_7wDi9h1WR0A_PEZhUypoIFGd_K6NocIwF0,yLoTm-ktQfMYqxwTLtWzCEYfvewwwBTUZZV1i_G43wE9sMd5itti4yuQUlIKY11IQH1F71t2Szouew
96,Summit,Top, SANDBOX Gaming,Korea,Challenger,967,SB 서밋,lPnysGx3b-3es9Teu6QxVny4kr1Lsb-4Cvaybpmx7wHjfIvhgk7SbNqo,vTtvBg7vfGV3irrt0LOGUVhW-xmzb_xwLeuzwvLSo_PBvMg,1a-dT2cL4mknFci20wBwbgESc0vifNnyPO9ptYqTwp0jZAYIH5NOx3AC_oinWpSahugbsDL7cIswKg
97,SofM,Jungle, Suning Gaming,China,Challenger,960,Sof13 CSGO,49Taxw8nBW7ZlfkvcTH4AcD86Gu-TEnPA9ooqfVouYG__nQa1QMZG0zM,hKI0Ia4fXJb9t_JeUOdUY4HbbXrw5LrfX_38l3FCJe6j2EM,7gje1oDrTXLndFbtETWUctKwEMiFjb8RnHrP_iIADFgLw3yvIxbT9y8MweMkN0SM6eeNHNmX9WKa8g
98,Deft,ADC, Hanwha Life Esports,Korea,Challenger,954,HLE Deft1,SfLf3QmAmFazSMiPcO9yW43ilXP-3JRXIMMFfjX52rn_V8k,yFKHkDTnYpTO3JARdq4rYv_3sRu0j4-dVRKOSl8k1ji4-8s,TaNgZrNbUj44wSXQTUyLJutbgHOgIaU7gdpgGDQmwSe7usVMLa0m4Lvc72sfbc_rpuWOgQRNxVxUVg
99,Bini,ADC, ESC Shane,Korea,Challenger,952,Sweety Pretty,T83ly8kX8QDoREeQzCrqAhg3dBhaMR34QgvYMiBu8JCgJgk,EvKeMaAZgi2Hn5S57kgWUL2J9xOAk8sRkMWH0qgxRPTSFZ8,uY4Wc3987vraQXXpAv56R6Wi3q4CGHTI7lcZxBUGkXrOPg9YjsZOpNL2Pvz4pwimHaZ4-0_iPPQ6eg
100,Destiny-KR,Support,No Team,Korea,Challenger,952,Destiny,y5unFEgqaazQXUqu40yOxYhYtOoPd3ruszgm4349ZJnP5oo,erk00I29GzGOEe1MBJs6n5XZ4fM9S0ijHFo7oK09oDQogNM,pGqKFSdEnA1DgbECcBRAhxtNuGylBH4-CgOJ8WACC6r0hX5sq91foBex3fPURe-JtnJBcLEvdJZXyg
101,Killua,Support,No Team,China,Challenger,951,da gong ren1,a-O3nZ55Sk1Jt5bduWxuiNkNtpWxAQGpaaK-8MSOyDFXA-U,EhnXfvs9jpZPg_Ee7ZjsLmawnAumZeM-mYXzPzmHMs9k6xM,u-Ey6zWAYUVt_JWaO4gct1jtIRNb6rIjkndXTvr0KZTBswXqNRtGk_wLwz1wmfd_RVVL4nVy1BK0dg
102,Flandre,Top,No Team,China,Challenger,947,우Q슈H,4IFJEhBZkr5APit3mSEz-eXTnReuTo3n4d06W5ezZgF-I7mw7cGvvV0B,BFlux0LjRv8jEWM3-XU_WvTbzkyA1YMrbUwcY5TSXqNp1wA,m6bRtGdIzEZuq4UvlWmyafMbKH91muLLoyo4ddHnmWha01X8NG_SXpAukGTpxTfsOBqjF3fjq87wkw
103,Dove,Mid,No Team,Korea,Challenger,944,FA Dove,EJTi_xxUZ54f3p6M3ScP-aqyueAEWiXrfnL-uWYcuaMmK0w,BARkUDQzd2p1kJMp0IlPkBKq4-XbNcXCcxstzaVjzD8vN7A,krjgqcaCgLf7B6VKJla8useQOoylkWgBgBsPfKKv4h7B0Og3yPwo45DQrwulc1XLZk0FiZzqUgga0A
104,Scout,Mid, EDward Gaming,China,Challenger,943,미북이,bR5xMoC2lP2xciUfPGUfKrV8pDs9JkiZz9aKxYUcHgO0VAI,BFD3AgaeDR6qWhcvEma2qo8ZtsV7b7XBslkK2fw_JG9RREM,19nWEP_88TCCg2clMGYxNDXNT1J76ozchJ2WMNGCmxZMpy-WzZoOtcBwOAO61Ex7IoH9BQLfiqGgQg
105,Blank,Jungle,No Team,Korea,Challenger,942,Blank,seoUbQVfl_-E_c1fPN5VHD4RmYVkpxEqRdw5_HmwW5qGt74,H1WdWELdAbuWsvak2PORmsuJT1pJUGn7g8eeQEaiK2uhi6U,tTIUHo2u1kwKDUPjSw7u-PPkCu3U2ZBkIrppqt9nzkCID7Zr-mDURAdxpx8zvbYukCjf-RIStZQKkg
106,Wayne,ADC (Sub), Griffin,Korea,Challenger,942,jkjkjkjkk,w9biaWupzH_nIY_KrujI_OquN-QgRz7UsyqTjLcd6ePl_yk,aFQ9L6jIZMOc7hqIbFUyJfbtMxJSaLv_Bktuo1KCnfv68gI,-ZoZhk7TQ-f61iKSJadW2BbhLUeNGuvMnr3zblBbASfqeCi2ZsHV7j41TsHRr6UtKDtThoN9GJ_UIA
107,Zenit,ADC,No Team,Korea,Challenger,939,HSHTM,35D5ctH3InNJduvC8-qbvHkBzpCZslYdhZYdJzkJ_yelzpll2zagNfbO,VFjxFi67EnqyZq9tC86dlVpAM6M6GWFhsOCHONjHsA4CJU4,wFWuuKisvUtOC4d8BD1sBRofY3OMjf6x0Aul_Bd2OEeO2S7mYSfMQdJX55fU14-O3B4CCim-x_sMPA
108,BAO,ADC, DRX,Korea,Challenger,934,DRX BAO,lXomEbMzooXHx6Hw8ru2VBdXqJJU4KCtOsrXW8xON2qFfbKyM_gTrOyo,1G-9LRm_BnfcCwvexuOhk1qfrKd2m2LvDo5sHjC1SwqvgNY,uTzn8Q6208irk-9Bc_lklq5enxqu6RaIji6MXMN9LxxH0RL5OMvhk4aFcNXSFlo0sRVsZZtUoR8c9A
109,Keria,Support, T1,Korea,Challenger,931,T1 Keria,NCs0DBU1OnQ6XiFDnwzQKGnffjHRzUF89bje8c4BPAtuD48,hnjHEjUJlVzmRuuQ-Mt-yEE3_ivC14rZ0OSl-mtk6lwNmiE,y74MWXFWm_TRdj_XEb3MGd5khkQFgaQL980vQyMhpTTQtnc3di2Um0spLiC8WVaOGQmkLe85eNUGIA
110,Crisp,Support, FunPlus Phoenix,China,Challenger,931,sdasdasd,Mah6X60HOlee4CpZy9xjPgyXMkJCTTsc1F0X6DXMtOUdDHRG21jKof20,WKu8DFZm_pvI6vA0qMTPuple_3I8VMFG-Q71VVFK39ItLrY,7vLLzbhNpfwvHRVBM-WzIZeCXuJbapHsQK2P2da701wS69w8SatErJiiojqE-znLScnjSJMzQ_l_ug
111,Poss,Top,No Team,China,Challenger,927,ping siba,Q-eMucL1RJaW6ss4Rh1USGj3e0ZexEpQsWnKwV2DfjO2JUo,WSjoYKLpvdhXSlhcrD73ZfOoEK_WNm52QQiNHEysjkalKTw,LiUM0axY5_4qopF6yTuMs6IElFZWEa0NTHl31NHxHfxZU5y1miHjE9pPELotw2bNXh7b3B_-EWbghQ
112,Wink,ADC, eStar,China,Challenger,922,bro game,phqU_QxwjTX1kmhIzdRmDOCH1qJithiLWE_hm_NdkYc5fqz8eIgakQQo,GwDSXnT9jhq8EolO_DbcU1AMwNwZAQRPbD3cUr8x4m1voII,xIL00YrMGYtqtI1u8F6JXJtEJIvVZ_rgPGHIcNlsYxzAjpAsBNCqZEJd8EVP4nH_FpxfzpQaqU-0ug
113,Hang,Support, Vici Gaming,China,Challenger,921,Starryovo,6Aa9RcZlS9MUQ2GLkFl4QncCc_K70ixUUSTJ5a5YVZfqXHGRx8VWuW9i,YHcNsfJ2lqBr_FCLd9ggCZXWMgeziOkaTroiZYcr7sw9nMY,mbMPOoI00tymruhS-VDKgfPpFZZMTIv_0I0MtPVhi64_Idc_WHPgWtGz9UOAUEPd51-FJhOwpSqMfg
114,Kuzan,Mid,No Team,Korea,Challenger,919,쿠자니,KN8loUYezi0mdCy9p6LtSxOqlOIKKijmwBnCdyR8gw05_YE,46BtTN0fnBVytckFB6f4SGYuKpRCcmrL-YNJMY4x3tYj_JQ,shay2-i5ypLxu22s4BK_zmOZmVJjFIys7R-z1sZ2_j32nuRGh9fu-lExzyZ4Ispgfu1gWwg-wPKdoQ
115,Mori,Jungle, Oh My Dream,China,Challenger,919,OMGqx1328035572,GI9u7Eub-td_rJTnYFbETdSyfJhbiiEGFaQfny_WR4iv7Qc,TJRlm2l4SOQKjaTc1FOz5hkIkjXG-0RwYJEBiGzS63q1GMo,70LR-EpTHpYRa4d8g7fhogtr3qZFSq6hi2L3uWGQn5-ZUX5ljXfOf7Xd3KVmOdbEZHTbOPeCS7bntw
116,Clozer,Mid (Sub), T1,Korea,Challenger,918,T1 Closer,5wwo0vrdABgXoiSRjtVgVvhtfpUzAoCPx7-yj-MFLbN7Or8,i6A7Ko9AQjPlz85uMPuxBdjPsTXPVrRyAWab0ua3xjpRQz4,__2Wa6Y-NN7VZqO1PEbMuOwUVwSnNpUoKPiE9COaTttTcfc1Xk6Mg7UvDKMqKoioey-8S7fqmVZyGw
117,Jinjiao,Support, Bilibili Gaming,China,Challenger,918,jiozz,D4F5FsThYZ1H91kPudcWpJ_ZHkha-3UtNqLF2TXYuVg01AUsGjHXwbzB,O9zG-gOW2bWTuBi-WffVOD4YmyMYgwbOkXs9I7sYP8jY68I,qYmTpy1wrkzbouYUuV9ChInWj7cXVquHVHhbUF9PmGMhkYAtS0mW93a3LLlAqYwTO1xwyAAmDhZSNg
